series_id,label,theme,unit,year,month,value,source
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2008,11,60898.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2008,12,48126.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2009,1,37263.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2009,2,44088.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2009,3,54542.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2009,4,68755.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2009,5,77093.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2009,6,76392.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2009,7,103967.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2009,8,123396.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2009,9,89647.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2009,10,78373.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2009,11,60613.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2009,12,54190.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2010,1,42828.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2010,2,47527.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2010,3,63503.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2010,4,80392.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2010,5,83913.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2010,6,91537.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2010,7,123503.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
