metric_id,label,theme,unit,barrio_id,barrio_name,period,value,source
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2015,156.5,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2016,163.0,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2017,165.2,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2018,147.1,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2019,151.1,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2020,150.0,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2021,142.6,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2022,143.9,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2023,140.5,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2024,139.7,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2025,147.9,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2000,128.6,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2001,127.5,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2002,122.5,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2003,121.2,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2004,121.6,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2005,125.0,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2006,128.4,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2007,129.9,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2008,134.3,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2009,138.4,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2010,147.0,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2011,154.9,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2012,166.1,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2013,176.7,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2014,187.4,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2015,195.0,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2016,209.2,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2017,227.2,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2018,236.5,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2019,245.7,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2020,264.1,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2021,276.1,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2022,288.3,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2023,296.5,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2024,319.4,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,antigua,Antiguo,2025,331.7,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2000,176.1,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2001,178.4,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2002,187.7,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2003,172.2,Donostia Open Data — población por edad y género por barrio (Padrón)
